Month of Year ID,Month of Year,Supersector ID,Supersector,NSA Employees,Date,NSA Employees Growth
"2018-01","January, 2018","15","Mining, Logging, and Construction",7432200,"2018-01-01",4.594902683760925
"2018-01","January, 2018","30","Manufacturing",12535600,"2018-01-01",1.3108765577771673
"2018-01","January, 2018","40","Trade, Transportation, and Utilities",27568500,"2018-01-01",0.830608527727183
"2018-01","January, 2018","50","Information",2825000,"2018-01-01",0.36593597896756314
"2018-01","January, 2018","55","Financial Activities",8425200,"2018-01-01",1.4668689934243804
"2018-01","January, 2018","60","Professional and Business Services",20421300,"2018-01-01",1.9729154807202565
"2018-01","January, 2018","65","Education and Health Services",23400600,"2018-01-01",2.0888411904824227
"2018-01","January, 2018","70","Leisure and Hospitality",15470800,"2018-01-01",1.9680731864858094
"2018-01","January, 2018","80","Other Services",5659200,"2018-01-01",0.8392580317528199
"2018-01","January, 2018","90","Government",22824000,"2018-01-01",0.16676906872641095
"2018-02","February, 2018","15","Mining, Logging, and Construction",7537200,"2018-02-01",4.991015336611459
"2018-02","February, 2018","30","Manufacturing",12600300,"2018-02-01",1.5710900091895463
"2018-02","February, 2018","40","Trade, Transportation, and Utilities",27373700,"2018-02-01",0.9578077745813971
"2018-02","February, 2018","50","Information",2860300,"2018-02-01",0.26992918740797867
"2018-02","February, 2018","55","Financial Activities",8454900,"2018-02-01",1.5506017439765547
"2018-02","February, 2018","60","Professional and Business Services",20595000,"2018-02-01",2.23684994340859
"2018-02","February, 2018","65","Education and Health Services",23728200,"2018-02-01",2.101127801754741
"2018-02","February, 2018","70","Leisure and Hospitality",15637900,"2018-02-01",1.8901731844303418
"2018-02","February, 2018","80","Other Services",5692200,"2018-02-01",0.9112182669124946
"2018-02","February, 2018","90","Government",23241500,"2018-02-01",0.2138677727999862
"2018-03","March, 2018","15","Mining, Logging, and Construction",7663500,"2018-03-01",4.8028664031836765
"2018-03","March, 2018","30","Manufacturing",12631000,"2018-03-01",1.645676578280288
"2018-03","March, 2018","40","Trade, Transportation, and Utilities",27414000,"2018-03-01",0.9954391057994828
"2018-03","March, 2018","50","Information",2853400,"2018-03-01",0.6064452436358508
"2018-03","March, 2018","55","Financial Activities",8463300,"2018-03-01",1.4382798173384632
"2018-03","March, 2018","60","Professional and Business Services",20691800,"2018-03-01",2.1438973219795137
"2018-03","March, 2018","65","Education and Health Services",23784600,"2018-03-01",2.01415397812567
"2018-03","March, 2018","70","Leisure and Hospitality",15905200,"2018-03-01",1.7769956806910896
"2018-03","March, 2018","80","Other Services",5724400,"2018-03-01",0.8491596490609914
"2018-03","March, 2018","90","Government",23329300,"2018-03-01",0.19627549004449485
"2018-04","April, 2018","15","Mining, Logging, and Construction",7837700,"2018-04-01",4.430261685231573
"2018-04","April, 2018","30","Manufacturing",12642600,"2018-04-01",1.6792935385803214
"2018-04","April, 2018","40","Trade, Transportation, and Utilities",27460600,"2018-04-01",0.7680367542098909
"2018-04","April, 2018","50","Information",2837600,"2018-04-01",0.25438100621820237
"2018-04","April, 2018","55","Financial Activities",8482600,"2018-04-01",1.4604389689611865
"2018-04","April, 2018","60","Professional and Business Services",20860700,"2018-04-01",2.1431719140185086
"2018-04","April, 2018","65","Education and Health Services",23845100,"2018-04-01",1.9910520282639566
"2018-04","April, 2018","70","Leisure and Hospitality",16179800,"2018-04-01",1.4623806955714698
"2018-04","April, 2018","80","Other Services",5760300,"2018-04-01",0.919793966151582
"2018-04","April, 2018","90","Government",23342600,"2018-04-01",0.15575187824751247
"2018-05","May, 2018","15","Mining, Logging, and Construction",8035000,"2018-05-01",4.429310389644147
"2018-05","May, 2018","30","Manufacturing",12688900,"2018-05-01",1.7129985892009747
"2018-05","May, 2018","40","Trade, Transportation, and Utilities",27667300,"2018-05-01",0.9619139021373027
"2018-05","May, 2018","50","Information",2847700,"2018-05-01",0.15827236916150816
"2018-05","May, 2018","55","Financial Activities",8516700,"2018-05-01",1.3808373111764496
"2018-05","May, 2018","60","Professional and Business Services",20934200,"2018-05-01",2.033435687478676
"2018-05","May, 2018","65","Education and Health Services",23789800,"2018-05-01",1.8425130782468726
"2018-05","May, 2018","70","Leisure and Hospitality",16571400,"2018-05-01",1.5472856626365747
"2018-05","May, 2018","80","Other Services",5802700,"2018-05-01",0.9990775068316711
"2018-05","May, 2018","90","Government",23368800,"2018-05-01",0.3030277017108618
"2018-06","June, 2018","15","Mining, Logging, and Construction",8212000,"2018-06-01",4.478371501272265
"2018-06","June, 2018","30","Manufacturing",12816300,"2018-06-01",1.711823246512071
"2018-06","June, 2018","40","Trade, Transportation, and Utilities",27777500,"2018-06-01",0.8587197269525435
"2018-06","June, 2018","50","Information",2881400,"2018-06-01",0.7658681587690156
"2018-06","June, 2018","55","Financial Activities",8598100,"2018-06-01",1.3317462375222449
"2018-06","June, 2018","60","Professional and Business Services",21117700,"2018-06-01",2.0277321480336266
"2018-06","June, 2018","65","Education and Health Services",23543500,"2018-06-01",1.859943929115326
"2018-06","June, 2018","70","Leisure and Hospitality",16941500,"2018-06-01",1.429101707498144
"2018-06","June, 2018","80","Other Services",5876200,"2018-06-01",1.0594021944759744
"2018-06","June, 2018","90","Government",22861700,"2018-06-01",0.4755312369525567
"2018-07","July, 2018","15","Mining, Logging, and Construction",8255900,"2018-07-01",4.515647154142192
"2018-07","July, 2018","30","Manufacturing",12839100,"2018-07-01",1.9477838301386396
"2018-07","July, 2018","40","Trade, Transportation, and Utilities",27739000,"2018-07-01",0.9230388607728495
"2018-07","July, 2018","50","Information",2868600,"2018-07-01",0.5045196552449023
"2018-07","July, 2018","55","Financial Activities",8628100,"2018-07-01",1.3282442748091603
"2018-07","July, 2018","60","Professional and Business Services",21144500,"2018-07-01",2.1828848681667052
"2018-07","July, 2018","65","Education and Health Services",23377800,"2018-07-01",1.9453420374416202
"2018-07","July, 2018","70","Leisure and Hospitality",16964400,"2018-07-01",1.6349639037833628
"2018-07","July, 2018","80","Other Services",5857100,"2018-07-01",1.1746212710093107
"2018-07","July, 2018","90","Government",21718300,"2018-07-01",0.36043862608189353
"2018-08","August, 2018","15","Mining, Logging, and Construction",8291900,"2018-08-01",4.715539559259961
"2018-08","August, 2018","30","Manufacturing",12858100,"2018-08-01",1.8996069232232298
"2018-08","August, 2018","40","Trade, Transportation, and Utilities",27765400,"2018-08-01",0.8045367741560715
"2018-08","August, 2018","50","Information",2882200,"2018-08-01",0.6214215891635246
"2018-08","August, 2018","55","Financial Activities",8627300,"2018-08-01",1.3271789812433201
"2018-08","August, 2018","60","Professional and Business Services",21250000,"2018-08-01",2.398781815903856
"2018-08","August, 2018","65","Education and Health Services",23512600,"2018-08-01",2.0614036991539955
"2018-08","August, 2018","70","Leisure and Hospitality",16973100,"2018-08-01",1.6639413487628256
"2018-08","August, 2018","80","Other Services",5839200,"2018-08-01",1.2379070009362323
